Logical Reasoning,Communication Skills,Quantitative Skills,Analytical Skills,High School CGPA,Stream,Stream_Point,AveragePoint,Recommended Course
6,2,10,4,9.5,Science,8,7.516666667,Computer Science (B.Sc)
0,8,0,2,9.26,Commerce,6,7.25,Business Administration (B.Com)
0,4,8,4,6.64,Humanities,5,5.866666667,Psychology (B.A)
0,0,0,2,8.48,Science,8,7.166666667,Electrical Engineering (B.Tech)
8,8,8,8,7.16,Commerce,6,7.633333333,Finance (B.Com)
6,4,4,2,6.05,Humanities,5,5.516666667,English Literature (B.A)
8,10,4,4,9.03,Science,8,7.383333333,Chemistry (B.Sc)
2,8,6,8,5.53,Commerce,6,6.95,Marketing (B.Com)
2,8,4,4,6.67,Humanities,5,5.5,History (B.A)
4,8,8,6,6.65,Science,8,7.316666667,Mechanical Engineering (B.Tech)
2,6,10,0,6.83,Commerce,6,6.466666667,Accounting (B.Com)
8,10,0,0,8.95,Humanities,5,6.85,Philosophy (B.A)
6,2,8,8,6.88,Science,8,7.6,Biology (B.Sc)
10,6,8,8,9.58,Commerce,6,6.766666667,International Business (B.Com)
2,0,4,0,6.96,Humanities,5,5.483333333,Sociology (B.A)
10,6,10,0,9.32,Science,8,7.333333333,Computer Engineering (B.Tech)
8,6,10,10,9.22,Commerce,6,6.733333333,Economics (B.Com)
4,10,0,8,6.51,Humanities,5,6.633333333,Political Science (B.A)
2,2,4,4,7.11,Science,8,7.716666667,Electrical Engineering (B.Tech)
8,10,8,2,5.37,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,10,2,2,8.87,Humanities,5,5.583333333,Art History (B.A)
6,8,8,6,7.08,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,2,2,10,5.27,Commerce,6,6.833333333,Finance (B.Com)
4,4,2,6,10,Humanities,5,5.516666667,History (B.A)
8,6,2,4,8.16,Science,8,7.35,Psychology (B.Sc)
6,8,8,4,7.47,Commerce,6,6.9,Marketing (B.Com)
4,6,4,6,9.22,Humanities,5,6.266666667,English Literature (B.A)
0,10,6,4,6.27,Science,8,7.466666667,Physics (B.Sc)
10,4,4,2,9.16,Commerce,6,6.833333333,Accounting (B.Com)
6,0,2,0,9.56,Humanities,5,5.533333333,Philosophy (B.A)
6,4,2,2,6.49,Science,8,7.283333333,Biology (B.Sc)
0,2,8,6,9.04,Commerce,6,6.8,International Business (B.Com)
8,0,2,10,6.56,Humanities,5,5.483333333,Sociology (B.A)
0,8,6,6,5.25,Science,8,7.666666667,Computer Engineering (B.Tech)
2,10,10,2,7.47,Commerce,6,6.733333333,Economics (B.Com)
4,4,8,10,9.48,Humanities,5,6.633333333,Political Science (B.A)
0,0,2,2,5.52,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,10,6,0,6.96,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,0,8,0,8.98,Humanities,5,5.583333333,Art History (B.A)
2,6,4,0,5.32,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,0,6,10,7.22,Commerce,6,6.833333333,Finance (B.Com)
10,10,6,2,9.38,Humanities,5,5.516666667,History (B.A)
6,0,0,2,8.81,Science,8,7.35,Psychology (B.Sc)
