Logical Reasoning,Communication Skills,Quantitative Skills,Analytical Skills,English,Maths,Physics,Biology,Chemistry,Accounting,Economics,Business Studies,History,Sociology,Politics,High School CGPA,Stream,Stream_Point,AveragePoint,Recommended Course
6,2,10,4,43,67,106,111,17,0,0,0,0,0,0,9.5,Science,8,7.516666667,Computer Science (B.Sc)
0,8,0,2,12,134,0,0,0,179,14,119,0,0,0,9.26,Commerce,6,7.25,Business Administration (B.Com)
0,4,8,4,192,24,0,0,0,0,0,0,140,189,104,6.64,Humanities,5,5.866666667,Psychology (B.A)
0,0,0,2,171,176,63,83,128,0,0,0,0,0,0,8.48,Science,8,7.166666667,Electrical Engineering (B.Tech)
8,8,8,8,24,198,0,0,0,189,183,17,0,0,0,7.16,Commerce,6,7.633333333,Finance (B.Com)
6,4,4,2,1,181,0,0,0,0,0,0,113,50,152,6.05,Humanities,5,5.516666667,English Literature (B.A)
8,10,4,4,104,90,128,33,135,0,0,0,0,0,0,9.03,Science,8,7.383333333,Chemistry (B.Sc)
2,8,6,8,107,121,0,0,0,72,17,106,0,0,0,5.53,Commerce,6,6.95,Marketing (B.Com)
2,8,4,4,174,120,0,0,0,0,0,0,96,139,152,6.67,Humanities,5,5.5,History (B.A)
4,8,8,6,182,114,73,183,167,0,0,0,0,0,0,6.65,Science,8,7.316666667,Mechanical Engineering (B.Tech)
2,6,10,0,177,190,0,0,0,63,12,194,0,0,0,6.83,Commerce,6,6.466666667,Accounting (B.Com)
8,10,0,0,118,29,0,0,0,0,0,0,39,6,106,8.95,Humanities,5,6.85,Philosophy (B.A)
6,2,8,8,48,160,168,62,185,0,0,0,0,0,0,6.88,Science,8,7.6,Biology (B.Sc)
10,6,8,8,194,107,0,0,0,35,156,76,0,0,0,9.58,Commerce,6,6.766666667,International Business (B.Com)
2,0,4,0,14,175,0,0,0,0,0,0,177,81,170,6.96,Humanities,5,5.483333333,Sociology (B.A)
10,6,10,0,3,54,41,25,67,0,0,0,0,0,0,9.32,Science,8,7.333333333,Computer Engineering (B.Tech)
8,6,10,10,198,178,0,0,0,136,33,164,0,0,0,9.22,Commerce,6,6.733333333,Economics (B.Com)
4,10,0,8,56,119,0,0,0,0,0,0,67,52,172,6.51,Humanities,5,6.633333333,Political Science (B.A)
2,2,4,4,117,24,176,150,69,0,0,0,0,0,0,7.11,Science,8,7.716666667,Electrical Engineering (B.Tech)
8,10,8,2,179,43,0,0,0,104,160,89,0,0,0,5.37,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,10,2,2,158,182,0,0,0,0,0,0,181,60,89,8.87,Humanities,5,5.583333333,Art History (B.A)
6,8,8,6,80,127,127,67,6,0,0,0,0,0,0,7.08,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,2,2,10,103,141,0,0,0,1,52,146,0,0,0,5.27,Commerce,6,6.833333333,Finance (B.Com)
4,4,2,6,165,50,0,0,0,0,0,0,141,154,116,10,Humanities,5,5.516666667,History (B.A)
8,6,2,4,180,173,133,111,146,0,0,0,0,0,0,8.16,Science,8,7.35,Psychology (B.Sc)
6,8,8,4,56,30,0,0,0,49,30,91,0,0,0,7.47,Commerce,6,6.9,Marketing (B.Com)
4,6,4,6,98,194,0,0,0,0,0,0,4,89,38,9.22,Humanities,5,6.266666667,English Literature (B.A)
0,10,6,4,159,70,26,194,48,0,0,0,0,0,0,6.27,Science,8,7.466666667,Physics (B.Sc)
10,4,4,2,127,50,0,0,0,49,180,70,0,0,0,9.16,Commerce,6,6.833333333,Accounting (B.Com)
6,0,2,0,176,118,0,0,0,0,0,0,31,132,34,9.56,Humanities,5,5.533333333,Philosophy (B.A)
6,4,2,2,100,0,195,95,43,0,0,0,0,0,0,6.49,Science,8,7.283333333,Biology (B.Sc)
0,2,8,6,126,65,0,0,0,152,52,42,0,0,0,9.04,Commerce,6,6.8,International Business (B.Com)
8,0,2,10,101,161,0,0,0,0,0,0,130,36,103,6.56,Humanities,5,5.483333333,Sociology (B.A)
0,8,6,6,34,61,139,12,150,0,0,0,0,0,0,5.25,Science,8,7.666666667,Computer Engineering (B.Tech)
2,10,10,2,106,178,0,0,0,52,112,0,0,0,0,7.47,Commerce,6,6.733333333,Economics (B.Com)
4,4,8,10,118,17,0,0,0,0,0,0,82,25,19,9.48,Humanities,5,6.633333333,Political Science (B.A)
0,0,2,2,151,60,67,166,61,0,0,0,0,0,0,5.52,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,10,6,0,175,102,0,0,0,34,144,81,0,0,0,6.96,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,0,8,0,172,86,0,0,0,0,0,0,179,178,168,8.98,Humanities,5,5.583333333,Art History (B.A)
2,6,4,0,193,69,69,8,130,0,0,0,0,0,0,5.32,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,0,6,10,169,55,0,0,0,195,159,47,0,0,0,7.22,Commerce,6,6.833333333,Finance (B.Com)
10,10,6,2,53,125,0,0,0,0,0,0,26,41,136,9.38,Humanities,5,5.516666667,History (B.A)
